NUMERO PEDIDO,NUMERO FACTURA,COD-ART,ESTATUS LINEA,ESTATUS LINEA FDV,CANT PEDIDA,CANTIDAD ART,VENTA DOLARES
P017817826041465977,06998999,22-10-034,DESPACHADO,DESPACHADO,10.0,10.0,31.234
P017817826041465977,06998999,22-10-050,DESPACHADO,DESPACHADO,10.0,10.0,28.712
P017817826042966105,07006924,03-42-000,DESPACHADO,DESPACHADO,5.0,5.0,7.584
P017817826042966105,07006924,03-42-001,DESPACHADO,DESPACHADO,5.0,5.0,9.264
P017817826042966105,07006924,03-42-002,DESPACHADO,DESPACHADO,5.0,5.0,10.992
P017817826042966105,07006924,22-43-039,DESPACHADO,DESPACHADO,3.0,3.0,18.75
P017817826042966105,07006924,01-07-010,DESPACHADO,DESPACHADO,10.0,10.0,18.3
P017817826042966105,07006924,01-07-013,DESPACHADO,DESPACHADO,10.0,10.0,18.3
P017817826042966105,07006924,01-07-014,DESPACHADO,DESPACHADO,10.0,10.0,18.3
P017817826042166027,07001974,03-34-042,DESPACHADO,DESPACHADO,50.0,50.0,22.08
P017817826042166027,07001974,03-34-054,DESPACHADO,DESPACHADO,50.0,50.0,22.08
P017817826041665992,06999907,13-58-017,DESPACHADO,DESPACHADO,3.0,3.0,247.1364
P017817826041665992,06999907,01-07-001,DESPACHADO,DESPACHADO,4.0,4.0,99.96
P017817826042166027,07001974,30-37-016,DESPACHADO,DESPACHADO,6.0,6.0,90.0
P017817826041665992,06999907,16-04-001,DESPACHADO,DESPACHADO,10.0,10.0,20.3
P017817826042166027,07001974,03-16-002,DESPACHADO,DESPACHADO,10.0,10.0,54.24
P017817826041665992,06999907,16-04-002,DESPACHADO,DESPACHADO,10.0,10.0,22.3
P017817826041665992,06999907,16-04-000,DESPACHADO,DESPACHADO,10.0,10.0,23.3
P017817826041465980,06998962,04-19-056,DESPACHADO,DESPACHADO,1.0,1.0,76.921
P017817826042866095,07006275,22-43-014,DESPACHADO,DESPACHADO,12.0,12.0,62.7168
P017817826041065941,06997334,22-07-079,DESPACHADO,DESPACHADO,400.0,400.0,182.36
P017817826041465980,06998962,04-19-057,DESPACHADO,DESPACHADO,1.0,1.0,76.921
P017817826042866095,07006275,22-43-021,DESPACHADO,DESPACHADO,8.0,8.0,33.9888
P017817826041065941,06997334,22-07-081,DESPACHADO,DESPACHADO,200.0,200.0,285.18
P017817826042866095,07006275,22-43-022,DESPACHADO,DESPACHADO,12.0,12.0,51.4368
P017817826041465980,06998962,04-19-151,DESPACHADO,DESPACHADO,1.0,1.0,76.921
P017817826042866095,07006275,22-43-023,DESPACHADO,DESPACHADO,12.0,12.0,76.704
P017817826041465980,06998962,04-19-152,DESPACHADO,DESPACHADO,1.0,1.0,76.921
P017817826042866095,07006275,22-43-027,DESPACHADO,DESPACHADO,24.0,24.0,75.8016
P017817826042866095,07006275,22-43-028,DESPACHADO,DESPACHADO,24.0,24.0,91.368
P017817826041365958,06998082,01-28-114,DESPACHADO,DESPACHADO,100.0,100.0,100.0
P017817826041365958,06998082,18-40-052,DESPACHADO,DESPACHADO,1.0,1.0,96.15
P017817826041365958,06998082,18-40-019,DESPACHADO,DESPACHADO,2.0,2.0,106.94
P017817826040865917,06995751,04-64-054,DESPACHADO,DESPACHADO,50.0,50.0,172.425
P017817826040765896,06995053,04-64-054,DESPACHADO,DESPACHADO,50.0,50.0,166.98
P017817826040765896,06995053,22-64-001,DESPACHADO,DESPACHADO,20.0,20.0,175.168
P017817826040765896,06995053,04-64-055,DESPACHADO,DESPACHADO,50.0,50.0,211.6
P017817826040765896,06995053,04-64-056,DESPACHADO,DESPACHADO,20.0,20.0,115.368
P017817826050466142,07008838,22-52-014,DESPACHADO,DESPACHADO,15.0,15.0,56.4975
P017817826050466142,07008838,04-64-051,DESPACHADO,DESPACHADO,40.0,40.0,54.684
P017817826050466142,07008838,22-10-029,DESPACHADO,DESPACHADO,50.0,50.0,73.005
P017817826050466142,07008838,22-10-031,DESPACHADO,DESPACHADO,15.0,15.0,79.3755
P017817826050466142,07008838,22-10-032,DESPACHADO,DESPACHADO,60.0,60.0,68.076
P017817826050466142,07008838,22-10-033,DESPACHADO,DESPACHADO,15.0,15.0,33.8985
P017817826050466142,07008838,22-10-034,DESPACHADO,DESPACHADO,15.0,15.0,60.822
P017817826050466142,07008838,22-10-035,DESPACHADO,DESPACHADO,20.0,20.0,35.898
P017817826050466142,07008838,22-10-050,DESPACHADO,DESPACHADO,20.0,20.0,70.866
P017817826050466142,07008838,22-10-049,DESPACHADO,DESPACHADO,15.0,15.0,50.0805
P017817826050466142,07008838,22-10-048,DESPACHADO,DESPACHADO,20.0,20.0,37.386
P026217826042460228,07004223,12-19-011,DESPACHADO,DESPACHADO,1.0,1.0,14.0
P026217826042460228,07004223,13-49-004,DESPACHADO,DESPACHADO,2.0,2.0,178.66
P017817826041665993,06999864,22-28-037,DESPACHADO,DESPACHADO,8.0,8.0,29.92
P017817826041665993,06999864,17-31-040,DESPACHADO,DESPACHADO,4.0,4.0,10.28
P017817826042466066,07004175,13-46-135,DESPACHADO,DESPACHADO,1.0,1.0,20.97
P017817826041666001,07000383,03-34-004,DESPACHADO,DESPACHADO,50.0,50.0,31.0
P017817826040765892,06995112,18-04-008,DESPACHADO,DESPACHADO,1.0,1.0,12.4
P017817826040765892,06995112,18-61-045,DESPACHADO,DESPACHADO,2.0,2.0,11.1
P017817826042766074,07005398,23-07-015,DESPACHADO,DESPACHADO,24.0,24.0,23.76
P026217826042760229,07005399,04-67-017,DESPACHADO,DESPACHADO,100.0,100.0,76.0
P017817826040965932,06996596,10-58-019,DESPACHADO,DESPACHADO,6.0,6.0,47.1744
P026217826040960209,06996375,04-67-002,DESPACHADO,DESPACHADO,200.0,200.0,32.0
P017817826040965926,06996373,04-64-037,DESPACHADO,DESPACHADO,50.0,50.0,21.5
P017817826040965926,06996373,04-64-036,DESPACHADO,DESPACHADO,200.0,200.0,48.0
P017817826041766005,07000909,22-07-101,DESPACHADO,DESPACHADO,45.0,45.0,73.332
P017817826041465968,06998714,22-70-031,DESPACHADO,DESPACHADO,10.0,10.0,112.142
P017817826041465968,06998714,22-07-057,DESPACHADO,DESPACHADO,10.0,10.0,81.028
P017817826041465968,06998714,22-07-080,DESPACHADO,DESPACHADO,25.0,25.0,11.25
P017817826041465968,06998714,22-07-081,DESPACHADO,DESPACHADO,25.0,25.0,26.75
P001901926041663535,07000054,10-19-017,DESPACHADO,DESPACHADO,1.0,1.0,80.38
P037126026041660023,07000066,13-43-008,DESPACHADO,DESPACHADO,1.0,1.0,110.0
P001801826041362541,06999625,30-16-111,DESPACHADO,DESPACHADO,1.0,1.0,37.27
P001801826041362541,06999625,30-37-000,DESPACHADO,DESPACHADO,1.0,1.0,19.13
P030930926041064914,03374009,01-12-110,DESPACHADO,DESPACHADO,1.0,1.0,140.28
P001911626040960005,06996592,03-46-008,DESPACHADO,DESPACHADO,1.0,1.0,155.73
P001801826041662547,06999863,03-08-068,DESPACHADO,DESPACHADO,1.0,1.0,30.52
P030930926041664962,03375053,01-24-279,DESPACHADO,DESPACHADO,2.0,2.0,10.54
P011611626040763496,06995136,10-34-027,DESPACHADO,DESPACHADO,10.0,10.0,104.6
P061826026041662140,06999789,01-07-005,DESPACHADO,DESPACHADO,30.0,30.0,303.84
P061826026041662140,06999789,13-34-012,DESPACHADO,DESPACHADO,24.0,24.0,72.0
P030930926041664962,03375053,01-24-043,DESPACHADO,DESPACHADO,20.0,20.0,16.6
P030930926041664962,03375053,01-24-044,DESPACHADO,DESPACHADO,20.0,20.0,16.6
P030930926041664962,03375053,01-24-045,DESPACHADO,DESPACHADO,20.0,20.0,16.6
P030930926041664962,03375053,01-24-049,DESPACHADO,DESPACHADO,20.0,20.0,19.0
P030930926041664962,03375053,01-24-056,DESPACHADO,DESPACHADO,20.0,20.0,17.2
P001801826041362541,06999625,30-34-043,DESPACHADO,DESPACHADO,12.0,12.0,14.16
P001801826041362541,06999625,30-22-007,DESPACHADO,DESPACHADO,12.0,12.0,22.44
P037126026041660023,07000066,12-01-009,DESPACHADO,DESPACHADO,6.0,6.0,9.6
P030930926041664962,03375053,01-24-062,DESPACHADO,DESPACHADO,10.0,10.0,8.4
P030930926041664962,03375053,01-24-063,DESPACHADO,DESPACHADO,10.0,10.0,9.3
P030930926041664962,03375053,01-24-083,DESPACHADO,DESPACHADO,10.0,10.0,11.9
P030930926041664962,03375053,01-24-086,DESPACHADO,DESPACHADO,10.0,10.0,11.9
P061826026041662140,06999789,01-07-001,DESPACHADO,DESPACHADO,10.0,10.0,239.904
P001901926041663535,07000054,10-34-005,DESPACHADO,DESPACHADO,5.0,5.0,60.2
P024224226041360372,0075403,10-07-041,DESPACHADO,DESPACHADO,3.0,3.0,3.9
P024224226041360372,0075403,23-04-015,DESPACHADO,DESPACHADO,12.0,12.0,14.28
P024224226041360372,0075403,23-10-050,DESPACHADO,DESPACHADO,12.0,12.0,17.88
P024224226041360372,0075403,23-07-037,DESPACHADO,DESPACHADO,12.0,12.0,22.44
P024224226041360372,0075403,23-19-001,DESPACHADO,DESPACHADO,12.0,12.0,29.88
P024224226041360372,0075403,23-10-027,DESPACHADO,DESPACHADO,6.0,6.0,16.8
P001901926040963520,06996888,20-04-003,DESPACHADO,DESPACHADO,1.0,1.0,175.68
P030307426042161387,07002556,01-07-000,DESPACHADO,DESPACHADO,20.0,20.0,39.552
P030307426042161387,07002556,37-01-018,DESPACHADO,DESPACHADO,4.0,4.0,21.68
P030307426042161387,07002556,17-13-006,DESPACHADO,DESPACHADO,3.0,3.0,10.65
P030307426042161387,07002556,04-10-024,DESPACHADO,DESPACHADO,3.0,3.0,125.88
P030307426042161387,07002556,17-10-011,DESPACHADO,DESPACHADO,1.0,1.0,12.35
P030307426042161387,07002556,17-39-002,DESPACHADO,DESPACHADO,12.0,12.0,18.84
P030307426042161387,07002556,30-16-143,DESPACHADO,DESPACHADO,1.0,1.0,24.21
P030307426042161387,07002556,04-10-006,DESPACHADO,DESPACHADO,3.0,3.0,56.73
P030307426041161326,06997605,13-28-020,DESPACHADO,DESPACHADO,60.0,60.0,76.38
P030307426041161326,06997605,13-28-019,DESPACHADO,DESPACHADO,12.0,12.0,25.2
P030307426041161326,06997605,04-10-005,DESPACHADO,DESPACHADO,6.0,6.0,94.8
P030307426041061321,06997012,03-44-014,DESPACHADO,DESPACHADO,1.0,1.0,30.1625
P030307426041061321,06997012,03-42-031,DESPACHADO,DESPACHADO,2.0,2.0,10.374
P030307426041061321,06997012,16-04-002,DESPACHADO,DESPACHADO,10.0,10.0,22.3
P030307426041061321,06997012,04-10-006,DESPACHADO,DESPACHADO,3.0,3.0,56.73
P030307426041061321,06997012,04-10-014,DESPACHADO,DESPACHADO,3.0,3.0,84.57
P030307426041061321,06997012,03-58-017,DESPACHADO,DESPACHADO,1.0,1.0,29.3
P030307426041061321,06997012,17-17-019,DESPACHADO,DESPACHADO,2.0,2.0,10.04
P030307426041061321,06997012,04-10-004,DESPACHADO,DESPACHADO,3.0,3.0,47.07
P022500826041060550,03373997,25-03-140,DESPACHADO,DESPACHADO,24.0,24.0,128.5008
P022500826041060550,03373997,06-09-158,DESPACHADO,DESPACHADO,2.0,2.0,5.878
P022500826041060550,03373997,28-06-003,DESPACHADO,DESPACHADO,12.0,12.0,21.444
P022500826041060550,03373997,31-18-004,DESPACHADO,DESPACHADO,10.0,10.0,26.69
P013713726042067989,07001547,13-64-007,DESPACHADO,DESPACHADO,12.0,12.0,94.1184
P013713726042067989,07001547,13-64-010,DESPACHADO,DESPACHADO,12.0,12.0,38.7072
P013713726042067989,07001547,13-13-042,DESPACHADO,DESPACHADO,24.0,24.0,61.5168
P013713726042067989,07001547,03-17-034,DESPACHADO,DESPACHADO,20.0,20.0,33.4
P013713726042768038,07005616,13-13-042,DESPACHADO,DESPACHADO,36.0,36.0,90.0
P013713726042768038,07005616,17-31-045,DESPACHADO,DESPACHADO,6.0,6.0,17.88
P013713726042768038,07005616,03-16-025,DESPACHADO,DESPACHADO,20.0,20.0,25.6
P013713726042768039,07005288,22-79-322,DESPACHADO,DESPACHADO,18.0,18.0,303.804
P013713726050468095,07008746,13-13-042,DESPACHADO,DESPACHADO,48.0,48.0,116.4
P013713726050468095,07008746,03-17-034,DESPACHADO,DESPACHADO,100.0,100.0,132.6
P013713726050468095,07008746,30-22-041,DESPACHADO,DESPACHADO,60.0,60.0,30.6
P013713726050468095,07008746,17-31-036,DESPACHADO,DESPACHADO,5.0,5.0,26.8
P061406426042960584,0077737,09-13-231,DESPACHADO,DESPACHADO,2.0,2.0,45.638
P061406426042960584,0077737,09-28-080,DESPACHADO,DESPACHADO,12.0,12.0,10.488
P061406426042960584,0077737,21-04-130,DESPACHADO,DESPACHADO,2.0,2.0,24.434
P061406426042960584,0077737,09-07-047,DESPACHADO,DESPACHADO,12.0,12.0,20.406
P061406426042960584,0077737,09-07-045,DESPACHADO,DESPACHADO,16.0,16.0,85.272
P061406426042960584,0077737,09-07-062,DESPACHADO,DESPACHADO,2.0,2.0,13.946
P061406426042960584,0077737,21-01-162,DESPACHADO,DESPACHADO,12.0,12.0,23.028
P061406426042960584,0077737,21-01-140,DESPACHADO,DESPACHADO,16.0,16.0,100.016
P061406426042960584,0077737,21-01-176,DESPACHADO,DESPACHADO,100.0,100.0,19.95
P061406426042960584,0077737,21-01-183,DESPACHADO,DESPACHADO,50.0,50.0,18.525
P061406426042960584,0077737,21-01-191,DESPACHADO,DESPACHADO,6.0,6.0,37.506
P061406426042960584,0077737,21-04-155,DESPACHADO,DESPACHADO,4.0,4.0,19.076
P061406426042960584,0077737,09-16-200,DESPACHADO,DESPACHADO,4.0,4.0,10.754
P061406426042960584,0077737,09-16-201,DESPACHADO,DESPACHADO,100.0,100.0,115.9
P061406426042960584,0077737,09-13-212,DESPACHADO,DESPACHADO,16.0,16.0,28.576
P061406426042960584,0077737,09-13-243,DESPACHADO,DESPACHADO,20.0,20.0,29.0
P061406426042960584,0077738,09-04-042,DESPACHADO,DESPACHADO,20.0,20.0,30.78
P061406426042960584,0077738,09-13-135,DESPACHADO,DESPACHADO,12.0,12.0,19.38
P061406426042960584,0077738,09-13-138,DESPACHADO,DESPACHADO,1.0,1.0,14.307
P061406426042960584,0077738,21-01-091,DESPACHADO,DESPACHADO,4.0,4.0,72.504
P061406426042960584,0077738,21-04-066,DESPACHADO,DESPACHADO,24.0,24.0,33.744
P061406426042960584,0077738,09-04-037,DESPACHADO,DESPACHADO,12.0,12.0,32.604
P061406426042960584,0077738,21-01-089,DESPACHADO,DESPACHADO,4.0,4.0,88.046
P061406426042960584,0077738,21-07-046,DESPACHADO,DESPACHADO,12.0,12.0,9.234
P061406426042960584,0077738,09-07-007,DESPACHADO,DESPACHADO,12.0,12.0,35.4
P061406426042960584,0077738,21-04-037,DESPACHADO,DESPACHADO,4.0,4.0,13.08
P061406426042960584,0077738,21-07-008,DESPACHADO,DESPACHADO,9.0,9.0,34.56
P061406426042960584,0077738,09-13-211,DESPACHADO,DESPACHADO,6.0,6.0,23.34
P037113726041460022,06998745,22-07-269,DESPACHADO,DESPACHADO,5.0,5.0,37.75
P037113726041460022,06998745,22-07-267,DESPACHADO,DESPACHADO,10.0,10.0,26.7
P030307426042361410,07003786,04-10-008,DESPACHADO,DESPACHADO,3.0,3.0,64.56
P030307426042361410,07003786,04-10-005,DESPACHADO,DESPACHADO,3.0,3.0,47.4
P030307426042961449,07006962,16-61-115,DESPACHADO,DESPACHADO,2.0,2.0,11.18
P030307426042961449,07006962,04-64-008,DESPACHADO,DESPACHADO,8.0,8.0,28.08
P040107426042160148,07002551,13-34-006,DESPACHADO,DESPACHADO,9.0,9.0,8.28
P005805826042963579,0077611,21-01-082,DESPACHADO,DESPACHADO,3.0,3.0,6.99
P005805826042963579,0077611,23-10-068,DESPACHADO,DESPACHADO,300.0,300.0,60.0
P005805826042963579,0077611,37-01-008,DESPACHADO,DESPACHADO,18.0,18.0,21.42
P013713726041467937,06998736,22-43-062,DESPACHADO,DESPACHADO,4.0,4.0,32.4368
P013713726041467937,06998736,22-43-025,DESPACHADO,DESPACHADO,2.0,2.0,50.925
P013713726041467937,06998736,17-48-011,DESPACHADO,DESPACHADO,3.0,3.0,10.89
P030307426042961444,07006819,17-23-004,DESPACHADO,DESPACHADO,2.0,2.0,13.24
P030307426042961444,07006819,16-34-103,DESPACHADO,DESPACHADO,1.0,1.0,55.0
P030307426042961444,07006819,17-23-000,DESPACHADO,DESPACHADO,1.0,1.0,25.73
P061406426041060496,0074970,06-07-024,DESPACHADO,DESPACHADO,1.0,1.0,24.68
P061406426043060586,0077704,21-07-015,DESPACHADO,DESPACHADO,1.0,1.0,62.74
P061406426041060496,0074970,06-07-105,DESPACHADO,DESPACHADO,1.0,1.0,23.93
P061406426043060586,0077704,21-01-046,DESPACHADO,DESPACHADO,1.0,1.0,17.27
P061406426043060586,0077704,21-07-056,DESPACHADO,DESPACHADO,100.0,100.0,18.0
